From	To
Q96B86	RGMA
P10646	TFPI
O75443	TECTA
Q9Y6M0	PRSS21
Q96PL2	TECTB
Q6NW40	RGMB
Q9BZR6	RTN4R
O75326	SEMA7A
Q5BIV9	SPRN
P04216	THY1
O43280	TREH
P13385	TDGF1
Q8TDM5	SPACA4
P52803	EFNA5
A6ND01	IZUMO1R
Q6UWR7	ENPP6
O43921	EFNA2
P52798	EFNA4
Q99445	GML
Q96ID5	IGSF21
Q8WWA0	ITLN1
P54826	GAS1
Q9GZZ7	GFRA4
P15328	FOLR1
O75015	FCGR3B
Q12891	HYAL2
P38567	SPAM1
P55259	GP2
Q6UWM5	GLIPR1L1
P35052	GPC1
P51654	GPC3
O75487	GPC4
P78333	GPC5
Q9Y625	GPC6
P56159	GFRA1
O00451	GFRA2
Q8N158	GPC2
O60609	GFRA3
Q13449	LSAMP
O95274	LYPD3
Q86Y78	LYPD6
H3BQJ8	LY6L
Q16553	LY6E
O94772	LY6H
Q6UX82	LYPD8
O95868	LY6G6D
Q14210	LY6D
P0DP58	LYNX1
Q8NI32	LYPD6B
O95867	LY6G6C
Q17RY6	LY6K
Q8N2G4	LYPD1
Q6UWN0	LYPD4
Q6UXB3	LYPD2
Q6UWN5	LYPD5
P06858	LPL
Q8IV16	GPIHBP1
P05186	ALPL
O43653	PSCA
P04156	PRNP
Q9UKY0	PRND
Q7RTY9	PRSS41
Q8NFP4	MDGA1
Q7Z553	MDGA2
Q9Y2I2	NTNG1
Q96CW9	NTNG2
Q9P121	NTM
Q86UN2	RTN4RL1
Q86UN3	RTN4RL2
O95980	RECK
Q6ZVN8	HFE2
Q7RTW8	OTOA
Q96GW7	BCAN
Q6UQ28	PLET1
Q93070	ART4
P52961	ART1
P13591	NCAM1
Q13421	MSLN
Q9ULZ9	MMP17
Q9NPA2	MMP25
P09923	ALPI
P10696	ALPPL2
P05187	ALPP
Q496H8	NRN1L
Q9NPD7	NRN1
Q7Z3B1	NEGR1
Q13508	ART3
P14207	FOLR2
P20827	EFNA1
P52797	EFNA3
P23515	OMG
Q14982	OPCML
Q5VY80	RAET1L
Q9BZM6	ULBP1
O95497	VNN1
Q9NY84	VNN3
O43895	XPNPEP2
Q6H3X3	RAET1G
Q9BZM4	ULBP3
Q03405	PLAUR
O14798	TNFRSF10C
Q9BZM5	ULBP2
P07911	UMOD
P08582	MELTF
O95498	VNN2
Q9BY14	TEX101
Q8IVL8	CPO
P0CG37	CFC1
P09326	CD48
P31997	CEACAM8
Q14002	CEACAM7
P08174	CD55
Q9P232	CNTN3
Q9UQ52	CNTN6
Q10588	BST1
Q10589	BST2
O95971	CD160
Q6YHK3	CD109
P08571	CD14
Q8N6Q3	CD177
P22748	CA4
P14384	CPM
P25063	CD24
P31358	CD52
P55290	CDH13
Q02246	CNTN2
Q8IWV2	CNTN4
O94779	CNTN5
P26992	CNTFR
Q12860	CNTN1
P13987	CD59
P06731	CEACAM5
P40199	CEACAM6
P21589	NT5E
P22303	ACHE
Q9H4A9	DPEP2
P16444	DPEP1
Q9H4B8	DPEP3
Q92485	SMPDL3B
A0A0J9YXG7	GPC2
Q86SV6	GPC4
H7BZL4	GPC1
H7C024	GPC1
I3L348	DPEP2
Q6IAV0	LPL
I3L4H3	DPEP2
J3QLL2	DPEP2
H3BQS5	DPEP1
J3KSU4	DPEP2
Q6I9V1	DPEP1
H3BP43	DPEP1
H7BZE9	GPC1
H7C410	GPC1
A0A140VK16	DPEP3
A0A087WX91	GPC5
Q8IYG2	GPC3
H0Y3U6	GPC3
C9J4Y6	GPC1
A0A1S5UZ08	GPC3
A0A2P9AQX1	BQ8482_350198
A0A087WT82	GPC6
A0A1B1RVA9	LPL
Q53H15	GPC3
I6QTG3	GPC3
A0A024R4D5	GPC1
