ALPL
ALPP
ALPPL2
B2M
BASP1
BCAN
BCAP31
BSG
BST1
BST2
C10orf35
C20orf24
CACNA2D1
CACNA2D2
CANX
CCDC180
CD109
CD177
CD44
CD55
CD58
CD59
CD79A
CDH13
CNTFR
CNTN1
COX5A
COX5B
CP
CPM
DMKN
DNASE1L1
EFEMP1
EFNA1
EFNA2
EFNA4
EFNA5
EMC10
ENG
FAM155B
FBLN1
FCGR3A
FCGR3B
FOLR1
GAS1
GFRA1
GFRA2
GFRA3
GFRA4
GFRAL
GPC1
GPC3
GPC4
GPC5
GPC6
GPD2
HLA-A
HSPA5
IGSF21
ITGA5
ITGB1
L1CAM
LAMA4
LAMP1
LAMP2
LRRC6
LY6H
LYPD3
MCAM
MFI2
MMP17
MOXD1
MSLN
NCAM1
NEGR1
NT5E
NTM
NTNG2
PGRMC1
PGRMC2
PLAUR
PRNP
PRSS21
RECK
RGMB
RTN4R
RTN4RL1
RTN4RL2
SEMA6A
SEMA7A
SIRPB1
SLC25A5
SLC3A2
SLC7A5
SMPDL3B
TFRC
TMEM109
TMPO
TPBG
TREH
TSPAN1
ULBP2
ULBP3
UQCRB
VDAC1
VDAC2
VDAC3
