sd_onset_control	effect_size	obs_freq	statistical_test	pwr
60	0.0191780821917808	14	t	0.0596000000000007
90	0.0191780821917808	14	t	0.0542000000000005
150	0.0191780821917808	14	t	0.0542000000000005
1	0.0383561643835616	14	t	0.999999999999906
3	0.0383561643835616	14	t	0.999999999999906
7	0.0383561643835616	14	t	0.993999999999907
14	0.0383561643835616	14	t	0.698999999999939
21	0.0383561643835616	14	t	0.400499999999972
30	0.0383561643835616	14	t	0.227099999999991
60	0.0383561643835616	14	t	0.0881000000000015
90	0.0383561643835616	14	t	0.071400000000001
150	0.0383561643835616	14	t	0.0539000000000005
1	0.0575342465753425	14	t	0.999999999999906
3	0.0575342465753425	14	t	0.999999999999906
7	0.0575342465753425	14	t	0.999999999999906
14	0.0575342465753425	14	t	0.959199999999911
21	0.0575342465753425	14	t	0.711899999999938
30	0.0575342465753425	14	t	0.430399999999969
60	0.0575342465753425	14	t	0.1456
90	0.0575342465753425	14	t	0.0942000000000017
150	0.0575342465753425	14	t	0.0620000000000007
1	0.0821917808219178	14	t	0.999999999999906
3	0.0821917808219178	14	t	0.999999999999906
7	0.0821917808219178	14	t	0.999999999999906
14	0.0821917808219178	14	t	0.999499999999906
21	0.0821917808219178	14	t	0.942599999999913
30	0.0821917808219178	14	t	0.708599999999938
60	0.0821917808219178	14	t	0.249499999999989
90	0.0821917808219178	14	t	0.132200000000002
150	0.0821917808219178	14	t	0.0823000000000013
1	0.1	14	t	0.999999999999906
3	0.1	14	t	0.999999999999906
7	0.1	14	t	0.999999999999906
14	0.1	14	t	0.999999999999906
21	0.1	14	t	0.989399999999907
30	0.1	14	t	0.857799999999922
60	0.1	14	t	0.33109999999998
90	0.1	14	t	0.181399999999996
150	0.1	14	t	0.0961000000000017
1	0.3	14	t	0.999999999999906
3	0.3	14	t	0.999999999999906
7	0.3	14	t	0.999999999999906
14	0.3	14	t	0.999999999999906
21	0.3	14	t	0.999999999999906
30	0.3	14	t	0.999999999999906
60	0.3	14	t	0.986899999999908
90	0.3	14	t	0.790599999999929
150	0.3	14	t	0.383499999999974
1	0.5	14	t	0.999999999999906
3	0.5	14	t	0.999999999999906
7	0.5	14	t	0.999999999999906
14	0.5	14	t	0.999999999999906
21	0.5	14	t	0.999999999999906
30	0.5	14	t	0.999999999999906
60	0.5	14	t	0.999999999999906
90	0.5	14	t	0.986999999999908
150	0.5	14	t	0.722699999999937
1	0.7	14	t	0.999999999999906
3	0.7	14	t	0.999999999999906
7	0.7	14	t	0.999999999999906
14	0.7	14	t	0.999999999999906
21	0.7	14	t	0.999999999999906
30	0.7	14	t	0.999999999999906
60	0.7	14	t	0.999999999999906
90	0.7	14	t	0.999199999999906
150	0.7	14	t	0.888399999999918
1	1	14	t	0.999999999999906
3	1	14	t	0.999999999999906
7	1	14	t	0.999999999999906
14	1	14	t	0.999999999999906
21	1	14	t	0.999999999999906
30	1	14	t	0.999999999999906
60	1	14	t	0.999999999999906
90	1	14	t	0.999999999999906
150	1	14	t	0.978399999999909
1	1.5	14	t	0.999999999999906
3	1.5	14	t	0.999999999999906
7	1.5	14	t	0.999999999999906
14	1.5	14	t	0.999999999999906
21	1.5	14	t	0.999999999999906
30	1.5	14	t	0.999999999999906
60	1.5	14	t	0.999999999999906
90	1.5	14	t	0.999999999999906
150	1.5	14	t	0.998199999999906
1	2	14	t	0.999999999999906
3	2	14	t	0.999999999999906
7	2	14	t	0.999999999999906
14	2	14	t	0.999999999999906
21	2	14	t	0.999999999999906
30	2	14	t	0.999999999999906
60	2	14	t	0.999999999999906
90	2	14	t	0.999999999999906
150	2	14	t	0.999799999999906
1	0.00958904109589041	21	t	0
3	0.00958904109589041	21	t	0
7	0.00958904109589041	21	t	0.1448
14	0.00958904109589041	21	t	0.0878000000000015
21	0.00958904109589041	21	t	0.0746000000000011
30	0.00958904109589041	21	t	0.0618000000000007
60	0.00958904109589041	21	t	0.0526000000000005
90	0.00958904109589041	21	t	0.0501000000000004
150	0.00958904109589041	21	t	0.0516000000000005
1	0.0191780821917808	21	t	0
3	0.0191780821917808	21	t	9e-04
7	0.0191780821917808	21	t	0.444799999999967
14	0.0191780821917808	21	t	0.221199999999992
21	0.0191780821917808	21	t	0.130700000000002
30	0.0191780821917808	21	t	0.0935000000000017
60	0.0191780821917808	21	t	0.0595000000000007
90	0.0191780821917808	21	t	0.0506000000000004
150	0.0191780821917808	21	t	0.0496000000000004
1	0.0383561643835616	21	t	0.999999999999906
3	0.0383561643835616	21	t	0.999499999999906
7	0.0383561643835616	21	t	0.976699999999909
14	0.0383561643835616	21	t	0.671299999999942
21	0.0383561643835616	21	t	0.377399999999975
30	0.0383561643835616	21	t	0.220699999999992
60	0.0383561643835616	21	t	0.0941000000000017
90	0.0383561643835616	21	t	0.0688000000000009
150	0.0383561643835616	21	t	0.0543000000000005
1	0.0575342465753425	21	t	0.999999999999906
3	0.0575342465753425	21	t	0.999999999999906
7	0.0575342465753425	21	t	0.999999999999906
14	0.0575342465753425	21	t	0.944499999999912
21	0.0575342465753425	21	t	0.69079999999994
30	0.0575342465753425	21	t	0.426999999999969
60	0.0575342465753425	21	t	0.1445
90	0.0575342465753425	21	t	0.0919000000000016
150	0.0575342465753425	21	t	0.0642000000000008
1	0.0821917808219178	21	t	0.999999999999906
3	0.0821917808219178	21	t	0.999999999999906
7	0.0821917808219178	21	t	0.999999999999906
14	0.0821917808219178	21	t	0.998799999999906
21	0.0821917808219178	21	t	0.936699999999913
30	0.0821917808219178	21	t	0.698199999999939
60	0.0821917808219178	21	t	0.23669999999999
90	0.0821917808219178	21	t	0.130100000000002
150	0.0821917808219178	21	t	0.0772000000000012
1	0.1	21	t	0.999999999999906
3	0.1	21	t	0.999999999999906
7	0.1	21	t	0.999999999999906
14	0.1	21	t	0.999999999999906
21	0.1	21	t	0.988799999999907
30	0.1	21	t	0.845399999999923
60	0.1	21	t	0.32909999999998
90	0.1	21	t	0.174799999999997
150	0.1	21	t	0.0941000000000017
1	0.3	21	t	0.999999999999906
3	0.3	21	t	0.999999999999906
7	0.3	21	t	0.999999999999906
14	0.3	21	t	0.999999999999906
21	0.3	21	t	0.999999999999906
30	0.3	21	t	0.999999999999906
60	0.3	21	t	0.986499999999908
90	0.3	21	t	0.789399999999929
150	0.3	21	t	0.385299999999974
1	0.5	21	t	0.999999999999906
3	0.5	21	t	0.999999999999906
7	0.5	21	t	0.999999999999906
14	0.5	21	t	0.999999999999906
21	0.5	21	t	0.999999999999906
30	0.5	21	t	0.999999999999906
60	0.5	21	t	0.999999999999906
90	0.5	21	t	0.985699999999908
150	0.5	21	t	0.706599999999938
1	0.7	21	t	0.999999999999906
3	0.7	21	t	0.999999999999906
7	0.7	21	t	0.999999999999906
14	0.7	21	t	0.999999999999906
21	0.7	21	t	0.999999999999906
30	0.7	21	t	0.999999999999906
60	0.7	21	t	0.999999999999906
90	0.7	21	t	0.999499999999906
150	0.7	21	t	0.892199999999918
1	1	21	t	0.999999999999906
3	1	21	t	0.999999999999906
7	1	21	t	0.999999999999906
14	1	21	t	0.999999999999906
21	1	21	t	0.999999999999906
30	1	21	t	0.999999999999906
60	1	21	t	0.999999999999906
90	1	21	t	0.999999999999906
150	1	21	t	0.980099999999908
1	1.5	21	t	0.999999999999906
3	1.5	21	t	0.999999999999906
7	1.5	21	t	0.999999999999906
14	1.5	21	t	0.999999999999906
21	1.5	21	t	0.999999999999906
30	1.5	21	t	0.999999999999906
60	1.5	21	t	0.999999999999906
90	1.5	21	t	0.999999999999906
150	1.5	21	t	0.998499999999906
1	2	21	t	0.999999999999906
3	2	21	t	0.999999999999906
7	2	21	t	0.999999999999906
14	2	21	t	0.999999999999906
21	2	21	t	0.999999999999906
30	2	21	t	0.999999999999906
60	2	21	t	0.999999999999906
90	2	21	t	0.999999999999906
150	2	21	t	0.999899999999906
1	0.00958904109589041	30	t	0
3	0.00958904109589041	30	t	0.0039
7	0.00958904109589041	30	t	0.128600000000002
14	0.00958904109589041	30	t	0.0876000000000015
21	0.00958904109589041	30	t	0.069500000000001
30	0.00958904109589041	30	t	0.0554000000000006
60	0.00958904109589041	30	t	0.0514000000000004
90	0.00958904109589041	30	t	0.0523000000000005
150	0.00958904109589041	30	t	0.0494000000000004
1	0.0191780821917808	30	t	0
3	0.0191780821917808	30	t	0.0048
7	0.0191780821917808	30	t	0.303299999999983
14	0.0191780821917808	30	t	0.203699999999994
21	0.0191780821917808	30	t	0.125800000000002
30	0.0191780821917808	30	t	0.0862000000000014
60	0.0191780821917808	30	t	0.0620000000000007
90	0.0191780821917808	30	t	0.0579000000000006
150	0.0191780821917808	30	t	0.0507000000000004
1	0.0383561643835616	30	t	0
3	0.0383561643835616	30	t	0.0056
7	0.0383561643835616	30	t	0.664099999999943
14	0.0383561643835616	30	t	0.588599999999951
21	0.0383561643835616	30	t	0.355199999999977
30	0.0383561643835616	30	t	0.203699999999994
60	0.0383561643835616	30	t	0.0932000000000016
90	0.0383561643835616	30	t	0.0663000000000009
150	0.0383561643835616	30	t	0.0568000000000006
1	0.0575342465753425	30	t	0
3	0.0575342465753425	30	t	0.187499999999996
7	0.0575342465753425	30	t	0.975799999999909
14	0.0575342465753425	30	t	0.896299999999918
21	0.0575342465753425	30	t	0.664999999999943
30	0.0575342465753425	30	t	0.403999999999972
60	0.0575342465753425	30	t	0.1465
90	0.0575342465753425	30	t	0.0911000000000016
150	0.0575342465753425	30	t	0.0644000000000008
1	0.0821917808219178	30	t	0.999999999999906
3	0.0821917808219178	30	t	0.999999999999906
7	0.0821917808219178	30	t	0.999999999999906
14	0.0821917808219178	30	t	0.995799999999907
21	0.0821917808219178	30	t	0.915699999999915
30	0.0821917808219178	30	t	0.683299999999941
60	0.0821917808219178	30	t	0.233399999999991
90	0.0821917808219178	30	t	0.130500000000002
150	0.0821917808219178	30	t	0.0802000000000013
1	0.1	30	t	0.999999999999906
3	0.1	30	t	0.999999999999906
7	0.1	30	t	0.999999999999906
14	0.1	30	t	0.999999999999906
21	0.1	30	t	0.982299999999908
30	0.1	30	t	0.837699999999924
60	0.1	30	t	0.32669999999998
90	0.1	30	t	0.179599999999997
150	0.1	30	t	0.0924000000000016
1	0.3	30	t	0.999999999999906
3	0.3	30	t	0.999999999999906
7	0.3	30	t	0.999999999999906
14	0.3	30	t	0.999999999999906
21	0.3	30	t	0.999999999999906
30	0.3	30	t	0.999999999999906
60	0.3	30	t	0.984899999999908
90	0.3	30	t	0.78599999999993
150	0.3	30	t	0.380199999999974
1	0.5	30	t	0.999999999999906
3	0.5	30	t	0.999999999999906
7	0.5	30	t	0.999999999999906
14	0.5	30	t	0.999999999999906
21	0.5	30	t	0.999999999999906
30	0.5	30	t	0.999999999999906
60	0.5	30	t	0.999999999999906
90	0.5	30	t	0.987099999999908
150	0.5	30	t	0.698599999999939
1	0.7	30	t	0.999999999999906
3	0.7	30	t	0.999999999999906
7	0.7	30	t	0.999999999999906
14	0.7	30	t	0.999999999999906
21	0.7	30	t	0.999999999999906
30	0.7	30	t	0.999999999999906
60	0.7	30	t	0.999999999999906
90	0.7	30	t	0.999599999999906
150	0.7	30	t	0.891999999999918
1	1	30	t	0.999999999999906
3	1	30	t	0.999999999999906
7	1	30	t	0.999999999999906
14	1	30	t	0.999999999999906
21	1	30	t	0.999999999999906
30	1	30	t	0.999999999999906
60	1	30	t	0.999999999999906
90	1	30	t	0.999999999999906
150	1	30	t	0.978699999999909
1	1.5	30	t	0.999999999999906
3	1.5	30	t	0.999999999999906
7	1.5	30	t	0.999999999999906
14	1.5	30	t	0.999999999999906
21	1.5	30	t	0.999999999999906
30	1.5	30	t	0.999999999999906
60	1.5	30	t	0.999999999999906
90	1.5	30	t	0.999999999999906
150	1.5	30	t	0.998899999999906
1	2	30	t	0.999999999999906
3	2	30	t	0.999999999999906
7	2	30	t	0.999999999999906
14	2	30	t	0.999999999999906
21	2	30	t	0.999999999999906
30	2	30	t	0.999999999999906
60	2	30	t	0.999999999999906
90	2	30	t	0.999999999999906
150	2	30	t	0.999699999999906
1	0.00958904109589041	60	t	0
3	0.00958904109589041	60	t	0.0048
7	0.00958904109589041	60	t	0.129200000000002
14	0.00958904109589041	60	t	0.0863000000000014
21	0.00958904109589041	60	t	0.0670000000000009
30	0.00958904109589041	60	t	0.0601000000000007
60	0.00958904109589041	60	t	0.0529000000000005
90	0.00958904109589041	60	t	0.0481000000000004
150	0.00958904109589041	60	t	0.0481000000000004
1	0.0191780821917808	60	t	0
3	0.0191780821917808	60	t	0.0036
7	0.0191780821917808	60	t	0.287499999999985
14	0.0191780821917808	60	t	0.176899999999997
21	0.0191780821917808	60	t	0.114400000000002
30	0.0191780821917808	60	t	0.0798000000000013
60	0.0191780821917808	60	t	0.0587000000000007
90	0.0191780821917808	60	t	0.0532000000000005
150	0.0191780821917808	60	t	0.0527000000000005
1	0.0383561643835616	60	t	0
3	0.0383561643835616	60	t	0.0054
7	0.0383561643835616	60	t	0.467699999999965
14	0.0383561643835616	60	t	0.441299999999968
21	0.0383561643835616	60	t	0.281699999999985
30	0.0383561643835616	60	t	0.178299999999997
60	0.0383561643835616	60	t	0.0864000000000014
90	0.0383561643835616	60	t	0.0632000000000008
150	0.0383561643835616	60	t	0.0557000000000006
1	0.0575342465753425	60	t	0
3	0.0575342465753425	60	t	0.0044
7	0.0575342465753425	60	t	0.498899999999961
14	0.0575342465753425	60	t	0.667199999999943
21	0.0575342465753425	60	t	0.51179999999996
30	0.0575342465753425	60	t	0.342299999999979
60	0.0575342465753425	60	t	0.130800000000002
90	0.0575342465753425	60	t	0.0881000000000015
150	0.0575342465753425	60	t	0.0621000000000008
1	0.0821917808219178	60	t	0
3	0.0821917808219178	60	t	0.0046
7	0.0821917808219178	60	t	0.493499999999962
14	0.0821917808219178	60	t	0.860099999999922
21	0.0821917808219178	60	t	0.78059999999993
30	0.0821917808219178	60	t	0.593499999999951
60	0.0821917808219178	60	t	0.221299999999992
90	0.0821917808219178	60	t	0.127400000000002
150	0.0821917808219178	60	t	0.0755000000000011
1	0.1	60	t	0
3	0.1	60	t	0.0039
7	0.1	60	t	0.516899999999959
14	0.1	60	t	0.944899999999912
21	0.1	60	t	0.907299999999916
30	0.1	60	t	0.755999999999933
60	0.1	60	t	0.321699999999981
90	0.1	60	t	0.164199999999998
150	0.1	60	t	0.0897000000000015
1	0.3	60	t	0.999999999999906
3	0.3	60	t	0.999999999999906
7	0.3	60	t	0.999999999999906
14	0.3	60	t	0.999999999999906
21	0.3	60	t	0.999999999999906
30	0.3	60	t	0.999999999999906
60	0.3	60	t	0.980799999999908
90	0.3	60	t	0.774699999999931
150	0.3	60	t	0.378399999999975
1	0.5	60	t	0.999999999999906
3	0.5	60	t	0.999999999999906
7	0.5	60	t	0.999999999999906
14	0.5	60	t	0.999999999999906
21	0.5	60	t	0.999999999999906
30	0.5	60	t	0.999999999999906
60	0.5	60	t	0.999999999999906
90	0.5	60	t	0.982899999999908
150	0.5	60	t	0.711299999999938
1	0.7	60	t	0.999999999999906
3	0.7	60	t	0.999999999999906
7	0.7	60	t	0.999999999999906
14	0.7	60	t	0.999999999999906
21	0.7	60	t	0.999999999999906
30	0.7	60	t	0.999999999999906
60	0.7	60	t	0.999999999999906
90	0.7	60	t	0.999699999999906
150	0.7	60	t	0.891299999999918
1	1	60	t	0.999999999999906
3	1	60	t	0.999999999999906
7	1	60	t	0.999999999999906
14	1	60	t	0.999999999999906
21	1	60	t	0.999999999999906
30	1	60	t	0.999999999999906
60	1	60	t	0.999999999999906
90	1	60	t	0.999999999999906
150	1	60	t	0.978499999999909
1	1.5	60	t	0.999999999999906
3	1.5	60	t	0.999999999999906
7	1.5	60	t	0.999999999999906
14	1.5	60	t	0.999999999999906
21	1.5	60	t	0.999999999999906
30	1.5	60	t	0.999999999999906
60	1.5	60	t	0.999999999999906
90	1.5	60	t	0.999999999999906
150	1.5	60	t	0.998699999999906
1	2	60	t	0.999999999999906
3	2	60	t	0.999999999999906
7	2	60	t	0.999999999999906
14	2	60	t	0.999999999999906
21	2	60	t	0.999999999999906
30	2	60	t	0.999999999999906
60	2	60	t	0.999999999999906
90	2	60	t	0.999999999999906
150	2	60	t	0.999999999999906
1	0.00958904109589041	90	t	0
3	0.00958904109589041	90	t	0.0046
7	0.00958904109589041	90	t	0.132600000000002
14	0.00958904109589041	90	t	0.0818000000000013
21	0.00958904109589041	90	t	0.0617000000000007
30	0.00958904109589041	90	t	0.0531000000000005
60	0.00958904109589041	90	t	0.0534000000000005
90	0.00958904109589041	90	t	0.0456000000000003
150	0.00958904109589041	90	t	0.0481000000000004
1	0.0191780821917808	90	t	0
3	0.0191780821917808	90	t	0.0057
7	0.0191780821917808	90	t	0.288899999999985
14	0.0191780821917808	90	t	0.176999999999997
21	0.0191780821917808	90	t	0.106000000000002
30	0.0191780821917808	90	t	0.0791000000000012
60	0.0191780821917808	90	t	0.0571000000000006
90	0.0191780821917808	90	t	0.0508000000000004
150	0.0191780821917808	90	t	0.0514000000000004
1	0.0383561643835616	90	t	0
3	0.0383561643835616	90	t	0.0037
7	0.0383561643835616	90	t	0.469299999999965
14	0.0383561643835616	90	t	0.434199999999969
21	0.0383561643835616	90	t	0.258399999999988
30	0.0383561643835616	90	t	0.165899999999998
60	0.0383561643835616	90	t	0.0887000000000015
90	0.0383561643835616	90	t	0.0635000000000008
150	0.0383561643835616	90	t	0.0544000000000005
1	0.0575342465753425	90	t	0
3	0.0575342465753425	90	t	0.0051
7	0.0575342465753425	90	t	0.491399999999962
14	0.0575342465753425	90	t	0.643599999999945
21	0.0575342465753425	90	t	0.452699999999966
30	0.0575342465753425	90	t	0.293499999999984
60	0.0575342465753425	90	t	0.129000000000002
90	0.0575342465753425	90	t	0.0846000000000014
150	0.0575342465753425	90	t	0.0639000000000008
1	0.0821917808219178	90	t	0
3	0.0821917808219178	90	t	0.0051
7	0.0821917808219178	90	t	0.492799999999962
14	0.0821917808219178	90	t	0.78499999999993
21	0.0821917808219178	90	t	0.670899999999942
30	0.0821917808219178	90	t	0.499099999999961
60	0.0821917808219178	90	t	0.216499999999992
90	0.0821917808219178	90	t	0.127700000000002
150	0.0821917808219178	90	t	0.0783000000000012
1	0.1	90	t	0
3	0.1	90	t	0.0045
7	0.1	90	t	0.493299999999962
14	0.1	90	t	0.827199999999925
21	0.1	90	t	0.78619999999993
30	0.1	90	t	0.640899999999946
