x,slow1,slow2,slow3,slow4,slow5,slow6,slow7,fast1,fast2
-7.7263,4.2344,,,,,,,,
-6.7083,8.8469,,,,,,,,
-6.6361,,,,,,,,,5.2174
-6.1938,,,,,,,3.1002,,
-5.9507,,9.6786,,,,,,,
-5.3421,,7.7883,,,,,,,
-5.0271,,,9.9811,,,,,,
-4.3059,,,11.7202,,,,,,
-3.8477,,,,,,,,,4.0832
-2.9018,,12.6276,,,,,,,
-2.8684,,,,,,,5.0662,,
-2.6829,,,,,,,,,6.7297
-2.6627,10.5104,,,,,,,,
-2.4776,,,,11.3422,,,,,
-2.4356,,22.2306,,,,,,,
-2.3093,,,15.879,,,,,,
-1.8329,,,,,,,7.6371,,
-1.7198,,12.4764,,,,,,,
-1.6311,,,,,,,,,4.6125
-1.4608,,,,13.4594,,,,,
-0.9619,,,,,13.9887,,,,
-0.946,,,,,,,8.3932,,
-0.8468,,,23.2892,,,,,,
-0.7777,,,,,,12.8544,,,
-0.739,,,,16.7864,,,,,
-0.7032,,,,,,14.2155,,,
-0.6323,,,,,,,,7.7883,
-0.2966,,,,,,,,,14.7448
-0.0026,,,,,,11.569,,,
0.2005,,,,,,,11.4178,,
0.2072,,,,,,,,,25.7845
0.8901,,,,,24.8771,,,,
0.9276,,26.1626,,,,,,,
1.0142,,,,,,13.6106,,,
1.1101,,,,,,,21.3989,,
1.4587,,,,,,,16.2571,,
1.623,,,,12.0983,,,,,
2.4186,,,,15.1985,,,,,
3.0667,,,,,,18.828,,,
3.4934,,,,22.8355,,,,,
3.585,,,,,,21.3233,,,
