TRUEMEAN TRUESD TRUEMEDIAN OBSMEAN OBSSD OBSMEDIAN OBSSKEW OBSKURT OBSPCTF PENETRANCE ROBSMEAN ROBSSD
40 5 40 39.9497053017263 4.98791447329415 40 -0.00431469968141632 0.0115531757604552 0.505060573176883 0.965542311949999 40 5
40 6 40 39.9230068882115 5.99879582709407 40 -0.00250103906689086 0.00968641661610103 0.505134383718467 0.9647483265 40 6
40 7 40 39.8862202884437 6.96614599804274 40 0.00401043735600164 0.00118770759384912 0.50520870716777 0.96383534595 40 7
40 8 40 39.8514404695558 7.96191512007642 40 -0.00170941095418737 0.00446104901569422 0.50533654174085 0.9626816578 40 8
40 9 40 39.829807088015 8.92602440505448 40 -0.0102651556165523 -0.0254672073968112 0.505464432779636 0.96135222755 40 9
40 10 40 39.7457310521302 9.92786276131818 40 -0.0163431964393764 -0.0126411268587812 0.505570609098069 0.95981222715 40 10
40 11 40 39.6950950054221 10.8872295042315 40 -0.0128363083315219 -0.035886757374139 0.505802774100861 0.9578883657 40 11
40 12 40 39.6237387213431 11.8214012187007 40 -0.0084691493186546 -0.0740650857739884 0.505977766716972 0.95559127605 40 12
40 13 40 39.5535741452404 12.7090533666482 40 -0.00968651040080318 -0.106500096606012 0.506156715316862 0.95276375845 40 13
40 14 40 39.4824730811745 13.6188141132746 40 0.0069903032245871 -0.171124206351158 0.506370020992735 0.94880121775 39 14
40 15 40 39.4280608516103 14.3528166659415 39 0.0156048974582654 -0.189254445837473 0.506675888005436 0.9444598973 39 14
41 5 41 40.9432370460806 5.00498470113302 41 0.000406129477951411 -0.000358357372546525 0.505311676092027 0.96360172125 41 5
41 6 41 40.9423156413818 5.98723355631881 41 -0.00087392730110398 -0.0216452701689289 0.505411672517977 0.962689766 41 6
41 7 41 40.8829608611485 6.97386487900601 41 -0.000386740944520558 0.013258315578156 0.505492045352196 0.96171131815 41 7
41 8 41 40.8682555033323 7.9682529774423 41 0.00148529984840304 -0.00121123994060834 0.505603718314799 0.960410668 41 8
41 9 41 40.8288114493055 8.93244387766363 41 -0.0166709876221373 -0.0147823011514041 0.505788391961876 0.9589834252 41 9
41 10 41 40.7430131042896 9.88922752308323 41 -0.025799704162809 -0.0127790821977616 0.505961131014676 0.9573863812 41 10
41 11 41 40.6350616311852 10.8678708770647 41 -0.0177088659340269 -0.0243116660148881 0.506163757616472 0.9554029484 41 11
41 12 41 40.6072171447253 11.8172906427321 41 -0.0199242563835258 -0.0575145709494644 0.506356180004179 0.95290586815 41 12
41 13 41 40.5079797929538 12.7310178442473 41 -0.0243474600109547 -0.0807319122929213 0.506584628521313 0.95001282225 41 13
41 14 41 40.4321697470105 13.5257248561576 41 -0.013792817002544 -0.147315233489262 0.506676217908818 0.9463632608 40 14
41 15 41 40.3184877052628 14.3821376011953 40 -0.00261409897253233 -0.211979912945711 0.507046092123326 0.9417042928 40 14
42 5 42 41.9475551422046 4.99338389024091 42 0.000339311116670167 0.0113420701310916 0.505591987347584 0.961502913149999 42 5
42 6 42 41.9227615558934 5.98903842992384 42 -0.0115813958485895 -0.00232903590088851 0.505704206086082 0.96054139565 42 6
42 7 42 41.8444401280865 6.97980645703775 42 0.00211087271120886 -0.0118574950290795 0.505811368772545 0.95948843435 42 7
42 8 42 41.8526646588018 7.95789180004911 42 -0.0120924365471193 -0.00245484517961181 0.505918925712794 0.95806909905 42 8
42 9 42 41.7711711825707 8.92122178987983 42 0.000259424082293215 -0.00123896041257421 0.50611988737817 0.95655890595 42 9
42 10 42 41.7198807332497 9.89246892346049 42 -0.0185504929128614 -0.0220384921955956 0.506266297873265 0.9547820134 42 10
42 11 42 41.670331541833 10.8352800184702 42 -0.0246958072575813 -0.0471651694773501 0.506523200906523 0.95261846355 42 11
42 12 42 41.5863677584149 11.7947394503502 42 -0.027938159077644 -0.0410093806503657 0.506727980267154 0.94994214775 42 12
42 13 42 41.4335926417061 12.6762241269929 41 -0.0239924776429274 -0.0993300693006063 0.506937633159049 0.9472618542 41 13
42 14 42 41.32375093362 13.5570971180408 41 -0.00471022682862694 -0.150814350652057 0.507181744191757 0.94335121025 41 14
42 15 42 41.3012710918843 14.3858028840234 41 -0.0187351633600437 -0.196182977506813 0.507585180156484 0.93852589235 41 14
43 5 43 42.9340160525184 5.00513550253156 43 -0.00361349053469027 -0.0248280678491155 0.50585581607016 0.95926491845 43 5
43 6 43 42.9005495223245 5.99452324460833 43 -0.00538972877673167 -0.00433668288331379 0.505965448480578 0.9582370661 43 6
43 7 43 42.8635681362688 6.96769987445507 43 -0.00464801970150131 -0.00625728731781416 0.506098570238746 0.95701582445 43 7
43 8 43 42.8166409987984 7.93085575415459 43 -0.0133218760285898 -0.0276210017996705 0.506263524830113 0.9556087686 43 8
43 9 43 42.7327903710034 8.91695769810019 43 -0.0110237683108625 -0.00780771480253772 0.506414678073697 0.95397000515 43 9
43 10 43 42.7126839846315 9.88858993949769 43 -0.0209090257251166 -0.0295117002527396 0.506730447498829 0.95186040395 43 10
43 11 43 42.6144269377693 10.8384979793662 43 -0.0273088806176139 -0.0196375658430012 0.506884578130121 0.9496484645 43 11
43 12 43 42.5115931974851 11.7429968718202 43 -0.0218268855175341 -0.0506783251438354 0.507121175206528 0.94707630825 43 12
