wavelength	a	b	r
190	74800	22400	-32200
191	76900	25300	-34700
192.5	73300	30000	-37500
195	64300	31900	-41000
197	44300	30003	-41900
200	14300	24300	-36400
202	0	19300	-25600
205	-25000	5700	-14500
208	-32600	-4700	-3400
210	-32400	-10800	-1400
211	-32100	-12100	0
214	-31000	-16400	3500
215	-31400	-17900	4100
217	-33100	-18400	4600
220	-35300	-15700	4400
222	-35700	-13800	3900
225	-32400	-11400	2700
230	-21900	-6400	800
234	-11400	-3600	0
238	-4300	-1400	-140
240	-3300	700	-150
250	0	0	0
